,StartDate,ExitDate,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,DepartmentType,Division,JobFunctionDescription,GenderCode,LocationCode,Race,Marital Status,Performance Score,Current Employee Rating,Employee ID,Engagement Score,Satisfaction Score,Work-Life Balance Score,Training Program Name,Training Type,Training Outcome
0,20-09-2019,active,CCDR,Active,Contract,Zone C,Temporary,Production       ,Finance & Accounting,Accounting,Female,34904,White,Widowed,Fully Meets,4,3427,1,2,3,Leadership Development,Internal,Failed
1,11-02-2023,active,EW,Active,Contract,Zone A,Part-Time,Production       ,Aerial,Labor,Male,6593,Hispanic,Widowed,Fully Meets,3,3428,2,1,5,Customer Service,External,Incomplete
2,10-12-2018,active,PL,Active,Full-Time,Zone B,Part-Time,Sales,General - Sga,Assistant,Male,2330,Hispanic,Widowed,Fully Meets,4,3429,1,2,1,Leadership Development,External,Failed
3,21-06-2021,active,CCDR,Active,Contract,Zone A,Full-Time,Sales,Finance & Accounting,Clerk,Male,58782,Other,Single,Fully Meets,2,3430,5,5,4,Project Management,External,Completed
4,29-06-2019,active,TNS,Active,Contract,Zone A,Temporary,Sales,General - Con,Laborer,Female,33174,Other,Married,Fully Meets,3,3431,2,5,3,Technical Skills,External,Failed
5,17-01-2020,active,BPC,Active,Contract,Zone B,Full-Time,Sales,Field Operations,Driver,Male,6050,Black,Married,Fully Meets,3,3432,2,3,5,Project Management,Internal,Passed
6,06-04-2022,03-Jul-23,WBL,Active,Full-Time,Zone B,Temporary,Sales,General - Eng,Technician,Female,90007,Hispanic,Divorced,Exceeds,4,3433,1,5,2,Customer Service,External,Passed
7,06-11-2020,29-Jan-23,CCDR,Active,Contract,Zone C,Full-Time,Sales,Engineers,Engineer,Female,97756,White,Divorced,Fully Meets,2,3434,1,4,2,Leadership Development,Internal,Passed
8,18-08-2018,active,NEL,Active,Contract,Zone B,Part-Time,Sales,Executive,Executive Assistant,Male,78789,Black,Widowed,Exceeds,3,3435,4,3,3,Customer Service,Internal,Passed
9,21-01-2022,29-Jun-23,BPC,Active,Part-Time,Zone B,Temporary,Sales,Engineers,Engineer,Male,78207,Asian,Widowed,Fully Meets,5,3436,5,5,2,Leadership Development,Internal,Failed
10,04-08-2023,active,SVG,Active,Contract,Zone B,Temporary,Sales,Field Operations,Technician,Female,46204,Other,Single,Fully Meets,5,3437,3,2,5,Technical Skills,Internal,Failed
11,10-08-2018,04-Nov-19,MSC,Active,Full-Time,Zone C,Temporary,Sales,General - Con,Technician,Female,30428,Asian,Married,Fully Meets,3,3438,4,2,5,Technical Skills,Internal,Failed
12,25-05-2022,27-Nov-22,EW,Active,Full-Time,Zone A,Temporary,Sales,Splicing,Splicer,Male,80820,Other,Single,Fully Meets,3,3439,1,2,5,Technical Skills,External,Incomplete
13,05-12-2019,17-Feb-23,CCDR,Active,Contract,Zone A,Full-Time,Sales,Finance & Accounting,Controller,Female,40220,White,Divorced,Fully Meets,3,3440,1,4,5,Communication Skills,External,Failed
14,28-04-2019,active,BPC,Active,Part-Time,Zone A,Part-Time,Sales,General - Con,Lineman,Male,89139,Asian,Widowed,Exceeds,4,3441,4,2,5,Project Management,Internal,Passed
15,09-07-2019,16-Jun-22,PYZ,Active,Full-Time,Zone A,Full-Time,IT/IS,Field Operations,Laborer,Male,2810,Black,Single,Exceeds,2,3442,2,5,3,Project Management,External,Failed
16,05-04-2021,12-May-23,WBL,Active,Full-Time,Zone C,Part-Time,IT/IS,Project Management - Con,Coordinator,Male,2621,Asian,Widowed,Fully Meets,3,3443,2,2,4,Technical Skills,External,Failed
17,28-11-2021,04-Feb-22,NEL,Active,Contract,Zone A,Part-Time,Sales,Engineers,Director,Male,44553,Other,Widowed,Fully Meets,3,3444,1,2,4,Technical Skills,External,Failed
18,16-01-2021,active,PL,Active,Contract,Zone C,Full-Time,Sales,Project Management - Con,Supervisor,Female,5360,Other,Married,Exceeds,4,3445,4,5,2,Project Management,External,Completed
19,24-08-2021,active,BPC,Active,Part-Time,Zone A,Part-Time,Sales,Field Operations,Driller,Female,16325,White,Divorced,Exceeds,2,3446,4,3,5,Technical Skills,Internal,Failed
20,26-05-2020,18-Jun-23,CCDR,Active,Part-Time,Zone C,Part-Time,Sales,General - Con,Technician,Female,43481,Asian,Widowed,Fully Meets,3,3447,5,1,4,Customer Service,Internal,Incomplete
21,01-10-2019,06-Nov-20,SVG,Active,Full-Time,Zone A,Temporary,Sales,Engineers,Specialist,Male,50705,Asian,Widowed,Fully Meets,3,3448,5,1,5,Communication Skills,Internal,Completed
22,10-05-2023,27-May-23,EW,Active,Contract,Zone B,Temporary,Sales,General - Eng,Technician,Male,5168,Black,Single,Fully Meets,5,3449,3,2,1,Communication Skills,External,Completed
23,01-09-2020,04-Dec-22,MSC,Active,Contract,Zone C,Temporary,Sales,Field Operations,Operator,Male,11765,Other,Single,Exceeds,2,3450,4,3,5,Technical Skills,Internal,Completed
24,18-02-2021,11-Nov-22,TNS,Active,Contract,Zone C,Full-Time,Sales,General - Con,Technician,Male,71071,Other,Divorced,Exceeds,3,3451,5,1,2,Technical Skills,External,Completed
25,08-11-2022,active,PYZ,Active,Part-Time,Zone A,Part-Time,Sales,General - Con,Foreman,Male,12122,Black,Divorced,Fully Meets,2,3452,5,5,2,Customer Service,Internal,Failed
26,13-10-2022,active,WBL,Active,Contract,Zone C,Part-Time,Sales,Fielders,Engineer,Male,87065,White,Widowed,Fully Meets,4,3453,5,5,3,Customer Service,External,Completed
27,11-09-2022,active,PYZ,Active,Full-Time,Zone C,Full-Time,IT/IS,General - Con,Foreman,Male,10415,Hispanic,Married,Needs Improvement,4,3454,4,4,2,Communication Skills,Internal,Passed
28,29-06-2021,05-Jul-22,WBL,Active,Full-Time,Zone C,Temporary,Sales,Project Management - Eng,Manager,Male,3763,Other,Widowed,Exceeds,4,3455,2,1,1,Project Management,External,Passed
29,06-03-2023,active,NEL,Active,Full-Time,Zone A,Temporary,Sales,Field Operations,Technician,Female,79623,Black,Divorced,Fully Meets,3,3456,4,3,4,Technical Skills,External,Passed
30,25-09-2020,active,PL,Active,Full-Time,Zone B,Temporary,Sales,Engineers,Technician,Female,69189,White,Divorced,Needs Improvement,3,3457,5,1,4,Customer Service,External,Completed
31,28-04-2022,24-May-23,BPC,Active,Contract,Zone A,Full-Time,Sales,Field Operations,Laborer,Female,5194,Hispanic,Single,Needs Improvement,3,3458,2,5,5,Communication Skills,Internal,Failed
32,18-04-2021,21-Jun-22,CCDR,Active,Part-Time,Zone A,Full-Time,Sales,General - Con,Splicer,Male,8779,Black,Widowed,Exceeds,2,3459,4,4,3,Communication Skills,Internal,Passed
33,19-02-2020,active,SVG,Active,Full-Time,Zone A,Full-Time,Sales,Aerial,Lineman,Male,74682,Asian,Married,Fully Meets,3,3460,4,3,3,Communication Skills,External,Incomplete
34,18-07-2019,01-Oct-21,EW,Active,Full-Time,Zone C,Part-Time,Sales,General - Con,Foreman,Male,78046,Hispanic,Married,Needs Improvement,1,3461,1,4,4,Technical Skills,External,Completed
35,13-09-2018,17-Sep-21,MSC,Active,Contract,Zone A,Full-Time,Sales,Field Operations,Coordinator,Male,27270,Hispanic,Divorced,Needs Improvement,3,3462,3,3,1,Project Management,External,Completed
36,30-04-2020,18-Jul-21,TNS,Active,Part-Time,Zone A,Temporary,Sales,Field Operations,Tower Hand,Male,12703,Hispanic,Single,Fully Meets,1,3463,4,3,4,Technical Skills,Internal,Incomplete
37,03-12-2018,09-Sep-22,PYZ,Active,Contract,Zone B,Full-Time,Sales,Shop (Fleet),Mechanic,Male,66835,Black,Widowed,Needs Improvement,5,3464,2,5,3,Customer Service,External,Passed
38,08-11-2021,active,WBL,Active,Full-Time,Zone B,Full-Time,Sales,General - Con,Flagger,Male,66150,Asian,Divorced,Needs Improvement,3,3465,5,4,3,Communication Skills,External,Incomplete
39,13-04-2022,10-Apr-23,PYZ,Active,Part-Time,Zone C,Full-Time,IT/IS,Aerial,Supervisor,Male,64288,Other,Married,Exceeds,4,3466,1,3,4,Customer Service,External,Passed
40,06-05-2020,active,WBL,Active,Contract,Zone A,Part-Time,Sales,Fielders,Engineer,Female,94333,Asian,Divorced,Exceeds,1,3467,4,3,2,Technical Skills,Internal,Incomplete
41,09-09-2019,active,NEL,Active,Contract,Zone B,Temporary,Sales,Wireline Construction,Foreman,Female,45453,Black,Single,Fully Meets,4,3468,3,1,3,Customer Service,Internal,Completed
42,29-07-2020,05-Jan-23,PL,Active,Contract,Zone B,Full-Time,Sales,Field Operations,Driver,Female,81905,Asian,Divorced,Needs Improvement,3,3469,5,5,1,Communication Skills,Internal,Failed
43,14-11-2018,28-Oct-19,BPC,Active,Contract,Zone C,Part-Time,Sales,Field Operations,Technician,Female,12491,Black,Married,Needs Improvement,3,3470,1,2,3,Project Management,External,Passed
44,29-02-2020,active,CCDR,Active,Part-Time,Zone C,Temporary,Sales,Field Operations,Foreman,Male,64350,Asian,Married,Fully Meets,4,3471,2,4,1,Customer Service,External,Passed
45,15-01-2023,active,SVG,Active,Contract,Zone C,Full-Time,Sales,Project Management - Con,Director,Male,74124,Other,Married,Exceeds,4,3472,5,5,4,Technical Skills,External,Completed
46,29-06-2023,active,EW,Active,Part-Time,Zone A,Temporary,Sales,Shop (Fleet),Manager,Male,33379,Hispanic,Widowed,Exceeds,2,3473,3,4,4,Communication Skills,External,Failed
47,09-03-2020,active,MSC,Active,Full-Time,Zone A,Temporary,Sales,Catv,Laborer,Male,34481,Other,Divorced,Fully Meets,2,3474,3,1,2,Customer Service,External,Incomplete
48,21-09-2021,13-Apr-23,TNS,Active,Full-Time,Zone C,Temporary,Sales,General - Con,Foreman,Male,90406,Asian,Widowed,Fully Meets,2,3475,4,3,4,Customer Service,Internal,Passed
49,12-06-2023,06-Jul-23,PYZ,Active,Part-Time,Zone A,Temporary,Sales,Fielders,Engineer,Male,95774,Asian,Divorced,Needs Improvement,2,3476,5,5,3,Leadership Development,Internal,Incomplete
50,07-04-2019,active,PYZ,Active,Part-Time,Zone A,Full-Time,IT/IS,Aerial,Laborer,Female,16058,Asian,Widowed,Needs Improvement,2,3477,1,2,1,Leadership Development,External,Failed
51,17-09-2018,09-Jan-19,WBL,Active,Full-Time,Zone C,Temporary,Sales,Wireline Construction,Groundman,Female,45149,Hispanic,Married,Fully Meets,2,3478,3,4,1,Technical Skills,External,Incomplete
52,02-08-2022,02-Apr-23,NEL,Active,Contract,Zone A,Part-Time,Sales,Project Management - Con,Technician,Female,96336,Hispanic,Widowed,Fully Meets,2,3479,4,4,4,Communication Skills,Internal,Passed
53,08-09-2022,16-Oct-22,PL,Active,Full-Time,Zone C,Temporary,Sales,Catv,Supervisor,Female,75671,Black,Widowed,Fully Meets,1,3480,1,5,3,Leadership Development,External,Failed
54,07-03-2019,31-May-21,BPC,Active,Full-Time,Zone C,Part-Time,Sales,Wireline Construction,Splicer,Male,61149,Other,Widowed,Fully Meets,4,3481,5,2,4,Technical Skills,External,Incomplete
55,29-10-2019,07-Feb-21,CCDR,Active,Full-Time,Zone A,Temporary,Sales,Catv,Lineman,Male,57302,Asian,Divorced,Needs Improvement,2,3482,4,5,5,Technical Skills,Internal,Failed
56,26-09-2021,active,SVG,Active,Part-Time,Zone B,Temporary,Sales,Project Management - Con,Coordinator,Male,42605,Asian,Widowed,Fully Meets,1,3483,1,4,5,Project Management,External,Passed
